0, 0, Header, 1, 3, 480
1, 0, Start_track
1, 0, Title_t, "Piano Sonata in D,K311,2.Andante con espressione"
1, 0, Copyright_t, "copyright performance by Larry N. Ellis"
1, 0, SMPTE_offset, 0, 0, 0, 0, 0
1, 0, Tempo, 857142
1, 0, Time_signature, 2, 2, 6, 8
1, 0, Key_signature, 1, "major"
1, 2863, Tempo, 2000000
1, 2873, Tempo, 909090
1, 3835, Tempo, 857142
1, 4778, Tempo, 2000000
1, 4795, Tempo, 895522
1, 5747, Tempo, 1111111
1, 5755, Tempo, 857142
1, 8635, Tempo, 1071428
1, 8807, Tempo, 759493
1, 9115, Tempo, 1395348
1, 9130, Tempo, 857142
1, 12463, Tempo, 2000000
1, 12475, Tempo, 895522
1, 13435, Tempo, 857142
1, 18214, Tempo, 1034482
1, 18235, Tempo, 857142
1, 20147, Tempo, 2857142
1, 20155, Tempo, 895522
1, 21600, Tempo, 937500
1, 22065, Tempo, 1333333
1, 22075, Tempo, 882352
1, 22555, Tempo, 869565
1, 22795, Tempo, 857142
1, 23976, Tempo, 1200000
1, 23995, Tempo, 857142
1, 24938, Tempo, 1200000
1, 24955, Tempo, 857142
1, 25890, Tempo, 1333333
1, 25915, Tempo, 857142
1, 26385, Tempo, 923076
1, 27835, Tempo, 857142
1, 28795, Tempo, 909090
1, 29395, Tempo, 857142
1, 29745, Tempo, 1363636
1, 29755, Tempo, 857142
1, 31657, Tempo, 1500000
1, 31675, Tempo, 857142
1, 33585, Tempo, 1333333
1, 33594, Tempo, 895522
1, 34545, Tempo, 1176470
1, 34555, Tempo, 895522
1, 36475, Tempo, 1071428
1, 36489, Tempo, 857142
1, 37416, Tempo, 1200000
1, 37435, Tempo, 857142
1, 39341, Tempo, 1428571
1, 39355, Tempo, 857142
1, 46795, Tempo, 952380
1, 47035, Tempo, 857142
1, 47941, Tempo, 2500000
1, 47995, Tempo, 895522
1, 48852, Tempo, 1224489
1, 48955, Tempo, 857142
1, 49849, Tempo, 2500000
1, 49915, Tempo, 937500
1, 50811, Tempo, 1224489
1, 51115, Tempo, 759493
1, 52315, Tempo, 952380
1, 52795, Tempo, 857142
1, 66976, Tempo, 1333333
1, 66991, Tempo, 857142
1, 68123, Tempo, 1132075
1, 68154, Tempo, 857142
1, 71982, Tempo, 1052631
1, 71995, Tempo, 857142
1, 75812, Tempo, 1500000
1, 75835, Tempo, 882352
1, 79675, Tempo, 857142
1, 83503, Tempo, 1500000
1, 83515, Tempo, 857142
1, 85180, Tempo, 1071428
1, 85195, Tempo, 857142
1, 98852, Tempo, 1200000
1, 98875, Tempo, 895522
1, 100780, Tempo, 1200000
1, 100795, Tempo, 857142
1, 101742, Tempo, 1276595
1, 101755, Tempo, 857142
1, 102697, Tempo, 1200000
1, 102715, Tempo, 857142
1, 106535, Tempo, 1200000
1, 106555, Tempo, 857142
1, 107499, Tempo, 1200000
1, 107515, Tempo, 857142
1, 113254, Tempo, 1200000
1, 113275, Tempo, 857142
1, 116143, Tempo, 1200000
1, 116155, Tempo, 857142
1, 117091, Tempo, 1500000
1, 117115, Tempo, 882352
1, 118050, Tempo, 1818181
1, 118075, Tempo, 882352
1, 119015, Tempo, 1621621
1, 119035, Tempo, 895522
1, 119980, Tempo, 1304347
1, 119995, Tempo, 697674
1, 121435, Tempo, 1250000
1, 121915, Tempo, 857142
1, 122875, Tempo, 857142
1, 129572, Tempo, 1500000
1, 129595, Tempo, 857142
1, 137252, Tempo, 1333333
1, 137275, Tempo, 857142
1, 141096, Tempo, 1500000
1, 141115, Tempo, 857142
1, 144930, Tempo, 2000000
1, 144955, Tempo, 909090
1, 145886, Tempo, 1200000
1, 145915, Tempo, 909090
1, 148795, Tempo, 857142
1, 152610, Tempo, 1132075
1, 152635, Tempo, 857142
1, 154282, Tempo, 1500000
1, 154315, Tempo, 857142
1, 162205, Tempo, 2068965
1, 162235, Tempo, 1034482
1, 162360, Tempo, 857142
1, 163195, Tempo, 1000000
1, 163238, Tempo, 923076
1, 163675, Tempo, 952380
1, 163920, Tempo, 983606
1, 164155, Tempo, 1111111
1, 164160, Tempo, 857142
1, 167976, Tempo, 1090909
1, 167995, Tempo, 882352
1, 169915, Tempo, 857142
1, 170857, Tempo, 1500000
1, 170875, Tempo, 857142
1, 174692, Tempo, 1200000
1, 174715, Tempo, 857142
1, 175663, Tempo, 1200000
1, 175675, Tempo, 857142
1, 185257, Tempo, 1200000
1, 185275, Tempo, 857142
1, 186216, Tempo, 1200000
1, 186235, Tempo, 857142
1, 187182, Tempo, 1250000
1, 187195, Tempo, 857142
1, 188135, Tempo, 1428571
1, 188155, Tempo, 857142
1, 189108, Tempo, 1764705
1, 189115, Tempo, 882352
1, 190061, Tempo, 1463414
1, 190075, Tempo, 882352
1, 191015, Tempo, 1276595
1, 191035, Tempo, 882352
1, 191976, Tempo, 1200000
1, 191995, Tempo, 895522
1, 192475, Tempo, 923076
1, 192931, Tempo, 1363636
1, 192955, Tempo, 857142
1, 193896, Tempo, 1578947
1, 193915, Tempo, 857142
1, 195814, Tempo, 1538461
1, 195835, Tempo, 857142
1, 196777, Tempo, 1200000
1, 196795, Tempo, 882352
1, 197755, Tempo, 983606
1, 198689, Tempo, 3333333
1, 198715, Tempo, 1132075
1, 198715, End_track
2, 0, Start_track
2, 0, Title_t, "New MIDI Track"
2, 0, MIDI_port, 0
2, 0, Channel_prefix, 0
2, 0, Control_c, 0, 7, 127
2, 0, Control_c, 0, 10, 64
2, 0, Program_c, 0, 0
2, 960, Note_on_c, 0, 71, 71
2, 1320, Note_on_c, 0, 74, 65
2, 1328, Note_off_c, 0, 71, 64
2, 1440, Note_on_c, 0, 72, 63
2, 1465, Note_off_c, 0, 74, 64
2, 1800, Note_on_c, 0, 71, 59
2, 1834, Note_off_c, 0, 72, 64
2, 1920, Note_on_c, 0, 69, 72
2, 1938, Note_off_c, 0, 71, 64
2, 2400, Note_on_c, 0, 71, 50
2, 2406, Note_off_c, 0, 69, 64
2, 2812, Note_off_c, 0, 71, 64
2, 2880, Note_on_c, 0, 72, 74
2, 3360, Note_on_c, 0, 74, 64
2, 3379, Note_off_c, 0, 72, 64
2, 3840, Note_on_c, 0, 72, 73
2, 3858, Note_off_c, 0, 74, 64
2, 4080, Note_on_c, 0, 71, 62
2, 4087, Note_off_c, 0, 72, 64
2, 4320, Note_on_c, 0, 69, 54
2, 4356, Note_off_c, 0, 71, 64
2, 4560, Note_on_c, 0, 67, 40
2, 4584, Note_off_c, 0, 69, 64
2, 4696, Note_off_c, 0, 67, 64
